Title,Link
title,link
Lusoga Braille Bible launched to empower visually impaired readers,https://www.monitor.co.ug/uganda/news/uganda/news/national/lusoga-braille-bible-launched-to-empower-visually-impaired-readers-4910242
title,link
Besigye no show as military deploys at closed Court Martial,https://www.monitor.co.ug/uganda/news/uganda/news/national/besigye-no-show-as-military-deploys-at-closed-court-martial--4911180
title,link
Man who reunited with family after 66 years dies 2 years later,https://www.monitor.co.ug/uganda/news/uganda/news/national/man-who-reunited-with-family-after-66-years-dies-2-years-later-4911206
title,link
Policeman knocks ex-minister’s wife dead,https://www.monitor.co.ug/uganda/news/uganda/news/national/policeman-knocks-ex-minister-s-wife-dead-4911078
title,link
"PRIME



Bank of Uganda names new chiefs amid wait for heist findings",https://www.monitor.co.ug/uganda/news/uganda/news/national/-bank-of-uganda-names-new-chiefs-amid-wait-for-heist-findings-4911126
title,link
"Deputy registrar, chief magistrate dismissed from judicial service",https://www.monitor.co.ug/uganda/news/uganda/news/national/deputy-registrar-chief-magistrate-dismissed-from-judicial-service-4910910
title,link
"PRIME



Ugandans in US gripped by Trump deportation fever",https://www.monitor.co.ug/uganda/news/uganda/news/national/ugandans-in-america-gripped-by-trump-deportation-fever-4910912
title,link
"PRIME



Supreme Court ruling: Museveni Vs The law",https://www.monitor.co.ug/uganda/news/uganda/news/national/lawyers-activists-take-on-museveni-over-remarks-on-supreme-court-ruling--4910946
title,link
"PRIME



Besigye’s lawyers to boycott military court",https://www.monitor.co.ug/uganda/news/uganda/news/national/besigye-s-lawyers-to-boycott-military-court-after-supreme-court-judgment-4910904
title,link
Nakapiripirit roadworks stall as workers protest,https://www.monitor.co.ug/uganda/news/uganda/news/national/-nakapiripirit-roadworks-stall-as-workers-protest-4910928
title,link
Flood-hit schools uncertain over first term reopening,https://www.monitor.co.ug/uganda/news/uganda/news/national/ntoroko-s-flood-hit-schools-uncertain-over-first-term-reopening-4910916
title,link
UTB rewards budding travel writers,https://www.monitor.co.ug/uganda/news/uganda/news/national/utb-rewards-budding-travel-writers-4910600
title,link
"PRIME



Gen Z protest icon: We’re all going to die, either way",https://www.monitor.co.ug/uganda/news/uganda/news/national/gen-z-protest-icon-we-re-all-going-to-die-either-way-4910106
title,link
Muyembe–Nakapiripirit road works stall as unpaid workers down tools,https://www.monitor.co.ug/uganda/news/uganda/news/national/muyembe-nakapiripirit-road-works-stall-as-unpaid-workers-down-tools-4910210
title,link
"PRIME



Ssemakadde accuses Kiryowa in Museveni letter, demands ouster",https://www.monitor.co.ug/uganda/news/uganda/news/national/ssemakadde-accuses-kiryowa-in-museveni-letter-demands-ouster-4910102
title,link
"PRIME



DRC crisis: It’s back to the future",https://www.monitor.co.ug/uganda/news/uganda/news/national/drc-crisis-it-s-back-to-the-future-4910064
title,link
"PRIME



The making of the judgement on the General Court Martial",https://www.monitor.co.ug/uganda/news/uganda/news/national/the-making-of-the-judgement-on-the-general-court-martial-4910044
title,link
Luwero’s crime battle: Will the new police model deliver?,https://www.monitor.co.ug/uganda/news/uganda/news/national/luwero-s-crime-battle-will-the-new-police-model-deliver--4909812
title,link
Business paralysed as Minister Amongi relocates to Aceng’s Lira City,https://www.monitor.co.ug/uganda/news/uganda/news/national/road-to-2026-business-paralysed-as-minister-amongi-relocates-to-aceng-s-lira-city--4909774
title,link
"PRIME



Three-year survey unearths tonnes of globally sought-after minerals in Karamoja",https://www.monitor.co.ug/uganda/news/uganda/news/national/three-year-survey-unearths-tonnes-of-globally-sought-after-minerals-in-karamoja-4909238
title,link
Prison warder arrested for tearing NRM register,https://www.monitor.co.ug/uganda/news/uganda/news/national/prison-warder-arrested-for-tearing-nrm-register-4909356
title,link
Uganda is not governed by judges - Museveni,https://www.monitor.co.ug/uganda/news/uganda/news/national/museveni-slams-supreme-court-over-wrong-decision-stopping-trial-of-civilians-in-military-courts-4909348
title,link
"PRIME



What it took to make cartoons under dictator Amin’s regime",https://www.monitor.co.ug/uganda/news/uganda/news/national/what-it-took-to-make-cartoons-under-dictator-amin-s-regime-4909292
title,link
"PRIME



Uganda battles Ebola and Mpox amid funding challenges",https://www.monitor.co.ug/uganda/news/uganda/news/national/uganda-battles-ebola-and-mpox-amid-funding-challenges-4909280
title,link
"Don't abandon NRM you helped capture power, Minister asks Masaka residents",https://www.monitor.co.ug/uganda/news/uganda/news/national/don-t-abandon-nrm-you-helped-capture-power-minister-asks-masaka-residents-4909206
title,link
Church confirms receiving nominees for West Buganda Bishop seat,https://www.monitor.co.ug/uganda/news/uganda/news/national/church-confirms-receiving-nominees-for-west-buganda-bishop-seat--4909132
title,link
When courts do not do politics,https://www.monitor.co.ug/uganda/news/uganda/news/national/when-courts-do-not-do-politics-4909088
title,link
"PRIME



Supreme Court judgement: In the Justices’ own words",https://www.monitor.co.ug/uganda/news/uganda/news/national/supreme-court-judgement-in-the-justices-own-words-4908546
title,link
Implications of US aid cuts to Uganda,https://www.monitor.co.ug/uganda/news/uganda/audio/-implications-of-us-aid-cuts-to-uganda-4905204
title,link
A dive into violence in Eastern DRC,https://www.monitor.co.ug/uganda/news/uganda/audio/a-dive-into-violence-in-eastern-drc-4903936
title,link
Embracing clean cooking to improve climate,https://www.monitor.co.ug/uganda/news/uganda/audio/embracing-clean-cooking-to-improve-climate-4902786
title,link
"A conversation on Donald Trump's executive orders, Uganda's political affairs",https://www.monitor.co.ug/uganda/news/uganda/audio/a-conversation-on-donald-trump-s-executive-orders-uganda-s-political-affairs-4898632
title,link
"PRIME



Reasons court gave for dismissing appeal against doctor",https://www.monitor.co.ug/uganda/news/uganda/news/insight/reasons-court-gave-for-dismissing-appeal-against-doctor-3245624
title,link
"PRIME



Battered, bombed and shot, but look where I am today",https://www.monitor.co.ug/uganda/news/uganda/news/insight/battered-bombed-and-shot-but-look-where-i-am-today-1529422
title,link
"PRIME



Winnie Mandela was an icon of anti-Apartheid struggle",https://www.monitor.co.ug/uganda/news/uganda/news/insight/winnie-mandela-was-an-icon-of-anti-apartheid-struggle-1750716
title,link
"PRIME



Tracing the corporation’s woes and property",https://www.monitor.co.ug/uganda/news/uganda/news/insight/tracing-the-corporation-s-woes-and-property-1505336
title,link
M23 offensive displaces hundreds in Eastern DRC,https://www.monitor.co.ug/uganda/news/uganda/pictorial/m23-offensive-displaces-hundreds-in-eastern-drc-4905070
title,link
Release of 2024 PLE results through the lens,https://www.monitor.co.ug/uganda/news/uganda/pictorial/release-of-2024-ple-results-through-the-lens-4899142
title,link
Navigating the challenges of adopting a child in Uganda,https://www.monitor.co.ug/uganda/news/uganda/video/navigating-the-challenges-of-adopting-a-child-in-uganda-4911060
title,link
Experts share tips on how to prevent Ebola,https://www.monitor.co.ug/uganda/news/uganda/video/experts-share-tips-on-how-to-prevent-ebola-4911058
title,link
Uganda assesses impact of US withdrawal from Paris agreement,https://www.monitor.co.ug/uganda/news/uganda/video/uganda-assesses-impact-of-us-withdrawal-from-paris-agreement-4911054
title,link
Auditor General faults govt on delayed service delivery,https://www.monitor.co.ug/uganda/news/uganda/video/auditor-general-faults-govt-on-delayed-service-delivery-4909842
